ID,texte,titre,categorie,urgence,temps_resolution,type_ticket,nb_mots,text_full
7 646,demande accès partage achat,demande accès partage achat,Accès au partage,Basse,2.5,Demande,4,demande accès partage achat demande accès partage achat
7 661_dup_4,accès au partage pour omaima najim accès au partage pour omaima najim,accès au partage pour omaima najim,Accès au partage,Moyenne,5.825,Demande,12,accès au partage pour omaima najim accès au partage pour omaima najim accès au partage pour omaima najim
7 392_dup_28,téléphone fixe hors service,téléphone fixe hors service,Applications,Haute,44.27,Incident,4,téléphone fixe hors service téléphone fixe hors service
7 392_dup_11,téléphone fixe hors service,téléphone fixe hors service,Applications,Haute,44.27,Incident,4,téléphone fixe hors service téléphone fixe hors service
7 495_dup_7,probleme d'excel abderrahim meziouri,probleme d'excel abderrahim meziouri,Autre,Moyenne,3.43,Incident,4,probleme d'excel abderrahim meziouri probleme d'excel abderrahim meziouri
7 567,problème accès fichier partagé qualité,problème accès fichier partagé qualité,Accès au partage,Basse,18.8,Incident,5,problème accès fichier partagé qualité problème accès fichier partagé qualité
7 328,demande de créer le projet 'atenolol' sur citrix 2025 mp,demande de créer le projet 'atenolol' sur citrix 2025 mp,Création de projet,Basse,5.825,Demande,10,demande de créer le projet 'atenolol' sur citrix 2025 mp demande de créer le projet 'atenolol' sur citrix 2025 mp
7 256_dup_2,problèmes de connexion,problèmes de connexion,Bureautique/Incident,Haute,151.17,Incident,3,problèmes de connexion problèmes de connexion
7 243,demande de creation de projet,demande de creation de projet,Création de projet,Basse,5.825,Demande,5,demande de creation de projet demande de creation de projet
7 256_dup_7,problèmes de connexion,problèmes de connexion,Bureautique/Incident,Haute,151.17,Incident,3,problèmes de connexion problèmes de connexion
7 327,problème d'accès au partage qualité pub en modification,problème d'accès au partage qualité pub en modification,Accès au partage,Basse,6.73,Incident,8,problème d'accès au partage qualité pub en modification problème d'accès au partage qualité pub en modification
7 587,demande d'activation compte windows ayoub sadkou,demande d'activation compte windows ayoub sadkou,Autre,Moyenne,3.45,Demande,6,demande d'activation compte windows ayoub sadkou demande d'activation compte windows ayoub sadkou
7 584,pb d acces fp reglementaire mohammed ismaili,pb d acces fp reglementaire mohammed ismaili,Partage,Basse,3.93,Incident,7,pb d acces fp reglementaire mohammed ismaili pb d acces fp reglementaire mohammed ismaili
7 587_dup_1,demande d'activation compte windows ayoub sadkou,demande d'activation compte windows ayoub sadkou,Autre,Moyenne,3.45,Demande,6,demande d'activation compte windows ayoub sadkou demande d'activation compte windows ayoub sadkou
7 489_dup_1,probléme d'accés odoo,probléme d'accés odoo,Applications,Moyenne,5.95,Incident,3,probléme d'accés odoo probléme d'accés odoo
7 312_dup_41,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 312_dup_15,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 136,demande d'accés au partage,demande d'accés au partage,Accès au partage,Basse,1.97,Demande,4,demande d'accés au partage demande d'accés au partage
7 665_dup_1,problème d'accès aux partages mentionnés,problème d'accès aux partages mentionnés,Autre,Moyenne,5.825,Incident,5,problème d'accès aux partages mentionnés problème d'accès aux partages mentionnés
7 480_dup_6,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 480_dup_13,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 480_dup_43,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 333_dup_1,problème de téléphonie-coupures réseau,problème de téléphonie-coupures réseau,Applications,Moyenne,23.35,Incident,4,problème de téléphonie-coupures réseau problème de téléphonie-coupures réseau
7 506,affectation modification d'une ligne téléphonique pour data center,affectation modification d'une ligne téléphonique pour data center,Utilitaires/Request,Basse,22.62,Demande,8,affectation modification d'une ligne téléphonique pour data center affectation modification d'une ligne téléphonique pour data center
7 473_dup_9,demande accès réseau de partage pv sara tebaa,demande accès réseau de partage pv sara tebaa,Autre,Moyenne,9.2,Demande,8,demande accès réseau de partage pv sara tebaa demande accès réseau de partage pv sara tebaa
7 159_dup_36,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 674,aicha ikhrichi peut pas accéder ã onedrive aicha ikhrichi peut pas accéder ã onedrive,aicha ikhrichi peut pas accéder ã onedrive,Autre,Moyenne,5.825,Incident,14,aicha ikhrichi peut pas accéder ã onedrive aicha ikhrichi peut pas accéder ã onedrive aicha ikhrichi peut pas accéder ã onedrive
6 966,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,11.28,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 377,création compte ad_elbekkali driss_vda,création compte ad_elbekkali driss_vda,Création compte AD,Basse,1.45,Demande,4,création compte ad_elbekkali driss_vda création compte ad_elbekkali driss_vda
7 177,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,6.25,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
7 670_dup_6,problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa,problème boite outlook pour benmoussa deyaa,Activation office,Moyenne,5.825,Incident,11,problème boite outlook pour benmoussa deyaa problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa
7 670_dup_13,problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa,problème boite outlook pour benmoussa deyaa,Activation office,Moyenne,5.825,Incident,11,problème boite outlook pour benmoussa deyaa problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa
7 029,demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa,demande de changement de bande,Changement de bande,Basse,3.27,Demande,31,demande de changement de bande demande de changement de bande description demande de changement de bande nom de l'application matériels bande inf supp détaillé bande téléphone emplacement et numéro de bureau site zenata ou ain sebaa
6 932,demande de bloquer les urls ci-aprés,demande de bloquer les urls ci-aprés,Utilitaires/Request,Basse,11.12,Demande,6,demande de bloquer les urls ci-aprés demande de bloquer les urls ci-aprés
7 611,problème réseau sujet urgent,problème réseau sujet urgent,Connexion internet,Basse,13.35,Incident,4,problème réseau sujet urgent problème réseau sujet urgent
7 672_dup_7,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi,problème de okta pour kawtar zraidi,MDP CFAO,Moyenne,5.825,Incident,12,problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi problème de okta pour kawtar zraidi
7 525,probléme de connexion réseau,probléme de connexion réseau,Connexion Réseau,Basse,22.07,Incident,4,probléme de connexion réseau probléme de connexion réseau
6 951,problème téléphone fixe,problème téléphone fixe,Applications,Basse,11.3,Incident,3,problème téléphone fixe problème téléphone fixe
7 354,demande de donner l'accès en lecture seule delais _ t hamam au partage '' qualite_pub cazsfsp01 '' ã hamza,demande de donner l'accès en lecture seule delais _ t hamam au partage '' qualite_pub cazsfsp01 '' ã hamza,Accès au partage,Basse,0.32,Demande,19,demande de donner l'accès en lecture seule delais _ t hamam au partage '' qualite_pub cazsfsp01 '' ã hamza demande de donner l'accès en lecture seule delais _ t hamam au partage '' qualite_pub cazsfsp01 '' ã hamza
7 299,demande de donner accès partage lecture écriture modification,demande de donner accès partage lecture écriture modification,Accès au partage,Basse,12.93,Demande,8,demande de donner accès partage lecture écriture modification demande de donner accès partage lecture écriture modification
7 504,probléme scanner,probléme scanner,Accès scanner,Basse,16.07,Incident,2,probléme scanner probléme scanner
7 521,ecran en panne,ecran en panne,Matériel/Incident,Basse,33.58,Incident,3,ecran en panne ecran en panne
7 555,réparation des deux tablettes,réparation des deux tablettes,Utilitaires/Incident,Basse,20.8,Incident,4,réparation des deux tablettes réparation des deux tablettes
7 459,scanjet entreprise flow 5000 s5,scanjet entreprise flow 5000 s5,Autre,Basse,0.17,Incident,5,scanjet entreprise flow 5000 s5 scanjet entreprise flow 5000 s5
7 456,demande d'identification hostnames,demande d'identification hostnames,accès Windows,Basse,27.73,Demande,3,demande d'identification hostnames demande d'identification hostnames
7 159_dup_15,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 480_dup_3,problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir,problème borne ilaykom prod primaire,Applications,Haute,4.32,Incident,23,problème borne ilaykom prod primaire problème borne ilaykom prod primaire bonjour je vous prie de noter que la borne primaire de la production ne fonctionne pas merci d'intervenir
7 675_dup_2,compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi,compte windows est verrouillé pour amal lamsoundi,Autre,Moyenne,5.825,Incident,14,compte windows est verrouillé pour amal lamsoundi compte windows est verrouillé pour amal lamsoundi compte windows est déverrouillé pour amal lamsoundi
7 485,problème téléphonie,problème téléphonie,Applications,Basse,31.48,Incident,2,problème téléphonie problème téléphonie
7 159_dup_8,probleme accès ã ma base documentaire juridique editions francis lefebvre,probleme accès ã ma base documentaire juridique editions francis lefebvre,Applications,Haute,98.92,Incident,10,probleme accès ã ma base documentaire juridique editions francis lefebvre probleme accès ã ma base documentaire juridique editions francis lefebvre
7 544_dup_1,completer la configuration du nouveau laptop de mohcine ouajji compléter la configuration du nouveau laptop destiné ã m mohcine,completer la configuration du nouveau laptop de mohcine ouajji,Autre,Moyenne,47.45,Incident,19,completer la configuration du nouveau laptop de mohcine ouajji completer la configuration du nouveau laptop de mohcine ouajji compléter la configuration du nouveau laptop destiné ã m mohcine
7 670_dup_14,problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa,problème boite outlook pour benmoussa deyaa,Activation office,Moyenne,5.825,Incident,11,problème boite outlook pour benmoussa deyaa problème boite outlook pour benmoussa deyaa problème boite outlook benmoussa deyaa
6 973_dup_47,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
6 973_dup_22,probleme de connexion wifi maphoffice off site ainsebaa,probleme de connexion wifi maphoffice off site ainsebaa,Laptop/Request,Haute,13.33,Incident,8,probleme de connexion wifi maphoffice off site ainsebaa probleme de connexion wifi maphoffice off site ainsebaa
7 312_dup_44,imprimante hors connexion,imprimante hors connexion,Impressions & Scanner/Incident,Haute,39.5,Incident,3,imprimante hors connexion imprimante hors connexion
7 217,demande d'accès au dossier partagé,demande d'accès au dossier partagé,Accès au partage,Basse,0.22,Demande,5,demande d'accès au dossier partagé demande d'accès au dossier partagé
