Issue Type,Summary,Description,Priority,Assignee,Sprint
Epic,"EPIC 1 - Initialisation & Data Engineering","Préparer le terrain pour que tout le monde puisse travailler. C'est la fondation de la maison.",High,,Sprint 1
Story,"US-1 : Initialisation du projet (Personne C)","Mise en place des outils de base.",High,Personne C,Sprint 1
Sub-task,"ST-1.1 : Création du repo Git + branches","1. Allez sur GitHub.com et créez un compte si besoin. 2. Cliquez sur le bouton + en haut à droite > New Repository. 3. Nommez-le analyse-tickets-ia. Cochez Public. Cliquez Create repository. 4. Sur votre ordinateur créez un dossier vide pour le projet. 5. Ouvrez ce dossier avec VS Code. 6. Ouvrez le terminal et tapez : git clone [votre_lien_github] . 7. Tapez : git checkout -b dev (ça crée une branche de travail). 8. Créez un fichier texte CONTRIBUTING.md et écrivez dedans : Format des commits : [feat] pour ajout [fix] pour correction. 9. Tapez : git add . puis git commit -m feat: initialisation puis git push origin dev.",High,Personne C,Sprint 1
Sub-task,"ST-1.2 : Setup environnement Python","1. Dans VS Code créez un fichier nommé requirements.txt à la racine du projet. 2. Collez cette liste dedans : pandas scikit-learn streamlit langchain chromadb sentence-transformers matplotlib openai. 3. Ouvrez le terminal. 4. Tapez : pip install -r requirements.txt 5. Regardez si des barres de chargement apparaissent. Si ça finit sans rouge c'est gagné. 6. Tapez : pip list pour vérifier que pandas est bien là.",High,Personne C,Sprint 1
Sub-task,"ST-1.3 : Création des dossiers","1. Dans la barre de gauche de VS Code (Explorateur) faites clic-droit dans le vide > Nouveau Dossier. 2. Créez le dossier data (pour les fichiers CSV). 3. Créez le dossier models (pour sauvegarder les IA). 4. Créez le dossier app (pour le site web). 5. Créez le dossier src (pour le code). 6. DANS le dossier src créez deux sous-dossiers : ml et rag. 7. Vérifiez que vous avez bien 4 dossiers principaux et 2 sous-dossiers.",High,Personne C,Sprint 1
Story,"US-2 : Préparation des données (Personne A)","Trouver et nettoyer les données pour qu'elles soient lisibles par l'ordi.",High,Personne A,Sprint 1
Sub-task,"ST-2.1 : Télécharger les données","1. Allez sur le site Kaggle.com (créez un compte gratuit). 2. Cherchez Customer Support Ticket Dataset OU utilisez des tickets d'entreprises marocaines (Maroc Telecom ONCF OCP). 3. Téléchargez le fichier CSV (bouton Download). 4. Dézippez le fichier si nécessaire. 5. Prenez le fichier .csv et glissez-le dans le dossier data de votre projet VS Code. 6. Renommez le fichier en tickets_maroc.csv pour que ce soit plus simple.",High,Personne A,Sprint 1
Sub-task,"ST-2.2 : Nettoyer le texte","1. Créez un fichier clean_data.py dans src/ml. 2. Écrivez le code : import pandas as pd. 3. Chargez les données : df = pd.read_csv(data/tickets.csv). 4. Mettez tout en minuscule : df[text] = df[text].str.lower() 5. Enlevez la ponctuation simple si besoin. 6. Sauvegardez : df.to_csv(data/tickets_cleaned.csv index=False). 7. Lancez le script avec le bouton Play ou python src/ml/clean_data.py.",High,Personne A,Sprint 1
Sub-task,"ST-2.3 : Couper les données en morceaux","1. Dans votre script python importez : from sklearn.model_selection import train_test_split 2. Ajoutez la ligne pour couper : train test = train_test_split(df test_size=0.2) (ça garde 20% pour vérifier à la fin). 3. Sauvegardez deux fichiers : train.to_csv(data/train.csv) et test.to_csv(data/test.csv). 4. Vérifiez dans le dossier data que les nouveaux fichiers sont apparus.",High,Personne A,Sprint 1
Epic,"EPIC 2 - ML Classique : Classification & Régression","Construire des modèles pour prédire les catégories et valeurs numériques.",High,,Sprint 1
Story,"US-3 : Classification ML (Personne A)","L'IA doit deviner si un ticket est Urgent ou Pas Urgent.",High,Personne A,Sprint 1
Sub-task,"ST-3.1 : Transformer les mots en chiffres (TF-IDF)","1. Créez un fichier train_model.py dans src/ml. 2. Importez : from sklearn.feature_extraction.text import TfidfVectorizer 3. Créez l'outil : vectorizer = TfidfVectorizer(max_features=5000) 4. Transformez vos textes : X = vectorizer.fit_transform(df[text]) 5. C'est magique vos phrases sont devenues un tableau de chiffres géant.",High,Personne A,Sprint 1
Sub-task,"ST-3.2 : Entraîner le modèle Random Forest","1. Importez : from sklearn.ensemble import RandomForestClassifier 2. Créez le modèle : model = RandomForestClassifier(n_estimators=100) 3. Lancez l'entraînement : model.fit(X df[category]) (remplacez category par la colonne que vous voulez prédire). 4. Attendez que ça finisse de calculer (ça peut prendre quelques secondes).",High,Personne A,Sprint 1
Sub-task,"ST-3.3 : Évaluation du modèle","1. Importez : from sklearn.metrics import classification_report confusion_matrix 2. Faites des prédictions sur test : y_pred = model.predict(X_test) 3. Affichez le rapport : print(classification_report(y_test y_pred)) 4. Matrice de confusion : print(confusion_matrix(y_test y_pred)) 5. Notez les scores F1 et accuracy quelque part.",Medium,Personne A,Sprint 1
Sub-task,"ST-3.4 : Sauvegarder le cerveau de l'IA","1. Importez : import joblib 2. Sauvegardez le modèle : joblib.dump(model models/classifier.pkl) 3. TRES IMPORTANT : Sauvegardez aussi le traducteur de mots : joblib.dump(vectorizer models/vectorizer.pkl) 4. Vérifiez que les deux fichiers .pkl sont bien dans le dossier models.",High,Personne A,Sprint 1
Story,"US-4 : Régression ML (Personne A)","Prédire des valeurs numériques comme le temps de résolution.",Medium,Personne A,Sprint 1
Sub-task,"ST-4.1 : Créer des features numériques","1. Dans un nouveau fichier regression.py ajoutez : df[text_length] = df[text].str.len() 2. Comptez les mots : df[word_count] = df[text].str.split().str.len() 3. Cherchez des mots-clés urgents en français/arabe : df[urgent_words] = df[text].str.contains(urgent|critique|bloquant|عاجل|مهم).astype(int) 4. Combinez avec TF-IDF pour avoir X complet.",Medium,Personne A,Sprint 1
Sub-task,"ST-4.2 : Entraîner modèle régression","1. Importez : from sklearn.linear_model import LinearRegression from sklearn.neighbors import KNeighborsRegressor 2. Testez Linear : reg_linear = LinearRegression().fit(X y_numeric) 3. Testez KNN : reg_knn = KNeighborsRegressor(n_neighbors=5).fit(X y_numeric) 4. Comparez les scores R2 : reg_linear.score(X_test y_test) vs reg_knn.score(X_test y_test).",Medium,Personne A,Sprint 1
Sub-task,"ST-4.3 : Sauvegarder le meilleur modèle","1. Choisissez le modèle avec le meilleur R2. 2. Sauvegardez : joblib.dump(meilleur_modele models/regressor.pkl) 3. Créez un fichier models/model_info.txt et notez : Modèle choisi : [nom] Score R2 : [valeur] Features utilisées : [liste].",Medium,Personne A,Sprint 1
Epic,"EPIC 3 - GenAI & RAG : Chatbot intelligent","Construire un chatbot qui répond aux questions sur les documents.",High,,Sprint 1
Story,"US-5 : Base vectorielle (Personne B)","Préparer la base de connaissance pour le chatbot.",High,Personne B,Sprint 1
Sub-task,"ST-5.1 : Vectorisation (Embeddings)","1. Créez un fichier ingest.py dans src/rag. 2. Importez : from langchain_community.embeddings import SentenceTransformerEmbeddings 3. Code pour charger le modèle : embeddings = SentenceTransformerEmbeddings(model_name=all-MiniLM-L6-v2) 4. Testez : print(embeddings.embed_query(bonjour)) 5. Si vous voyez une liste de chiffres s'afficher ça marche.",High,Personne B,Sprint 1
Sub-task,"ST-5.2 : Chunking des documents","1. Créez une fonction split_text(text max_length=500). 2. Elle doit découper en morceaux de 500 caractères max en gardant les phrases entières. 3. Testez sur un ticket : chunks = split_text(votre_ticket_test) print(len(chunks)) 4. Chaque chunk doit garder les métadonnées (id_ticket priorité etc.).",High,Personne B,Sprint 1
Sub-task,"ST-5.3 : Créer la base de données Chroma","1. Importez : from langchain_community.vectorstores import Chroma 2. Chargez vos textes nettoyés et chunked. 3. Créez la base : db = Chroma.from_texts(chunks embeddings persist_directory=./chroma_db) 4. Lancez le script. Un dossier chroma_db doit apparaître. C'est la mémoire de votre robot. 5. Testez recherche : results = db.similarity_search(probleme internet inwi k=3).",High,Personne B,Sprint 1
Story,"US-6 : Cerveau du Chatbot (Personne B)","Connecter l'intelligence (LLM) à la mémoire.",High,Personne B,Sprint 1
